order_id,order_num,date,total,promo_code,shipping_method,article_quantity,article_title,article_sku,origin
1757466,22211,2024-12-04,5.653.900.000,None,Moreno,1,Coloracion Biocolor Mascara Nutriprotectora,12,PWA_MOBILE
1757466,22211,2024-12-04,5.653.900.000,None,Moreno,1,Ampolla 022 Con Acido Hialuronico y Vitamina C x20ml.,722,PWA_MOBILE
1757466,22211,2024-12-04,5.653.900.000,None,Moreno,10,Tiñe + Mas x3ml.,9,PWA_MOBILE
1757466,22211,2024-12-04,5.653.900.000,None,Moreno,1,Ampolla 055 Con Oleo de Semillas de Lino x20 ml,755,PWA_MOBILE
1757466,22211,2024-12-04,5.653.900.000,None,Moreno,1,Tratamiento de Reconstruccion Con Oro y Caviar x15 gr,457,PWA_MOBILE
1757466,22211,2024-12-04,5.653.900.000,None,Moreno,1,Ampolla 011 Rosa Mosqueta y Aminoacidos x20ml.,711,PWA_MOBILE
1757363,22203,2024-12-04,1.059.700.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1757285,22201,2024-12-04,1.459.700.000,None,Caba,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1757141,22195,2024-12-04,1.459.700.000,None,Caba,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1756846,22192,2024-12-04,4.209.000.000,None,Caba,3,​Hairstick Óleo de Argán,656,PWA_MOBILE
1756846,22192,2024-12-04,4.209.000.000,None,Caba,1,Mascara Capilar Oleo de Argan x150ml.,653,PWA_MOBILE
1756795,22186,2024-12-04,1.459.700.000,None,Florencio Varela,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1756587,22156,2024-12-03,1.659.700.000,None,Mar del Plata,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1756338,22144,2024-12-03,1.362.300.000,None,"Retiro en Tienda, Roseti 951CABA",1,Protector Termico x250ml.,830,PWA_MOBILE
1756338,22144,2024-12-03,1.362.300.000,None,"Retiro en Tienda, Roseti 951CABA",1,Ampolla 1007 Potencializado x20 ml,737,PWA_MOBILE
1756233,22140,2024-12-03,1.459.700.000,None,Vicente López,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1756063,22131,2024-12-03,3.896.800.000,None,Cordoba.,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1756063,22131,2024-12-03,3.896.800.000,None,Cordoba.,1,Oleo De Argan x10ml.,298,PWA_MOBILE
1756063,22131,2024-12-03,3.896.800.000,None,Cordoba.,1,Tratamiento Instantaneo Anti-Frizz Pro Vitamina B5 x155ml.,786,PWA_MOBILE
1756063,22131,2024-12-03,3.896.800.000,None,Cordoba.,1,Balsam Phytoplus Manzanilla x400ml.,50,PWA_MOBILE
1755944,22116,2024-12-03,1.459.700.000,None,La Plata,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1755824,22108,2024-12-03,5.867.600.000,None,Comodoro Rivadavia,2,​Hairstick Óleo de Argán,656,PWA_MOBILE
1755824,22108,2024-12-03,5.867.600.000,None,Comodoro Rivadavia,2,Parfum Brume Capillaire,667,PWA_MOBILE
1755824,22108,2024-12-03,5.867.600.000,None,Comodoro Rivadavia,1,Shine Brillo Ultra Ligero para el cabello con siliconas x195ml.,715,PWA_MOBILE
1755798,22105,2024-12-03,1.459.700.000,None,Florencio Varela,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1755729,22097,2024-12-03,6.151.200.000,None,Vicente López,12,Ampolla Bioxidil® x10 ml,762,PWA_MOBILE
1755275,22081,2024-12-03,4.572.900.000,None,Entre Rios,1,Champu Hidratacion Intensa x400ml.,272,PWA_MOBILE
1755275,22081,2024-12-03,4.572.900.000,None,Entre Rios,1,Balsam Sellador del Color x400 g,407,PWA_MOBILE
1755275,22081,2024-12-03,4.572.900.000,None,Entre Rios,1,Mascara Acida Selladora Del Color 0% x150ml.,401,PWA_MOBILE
1754919,22074,2024-12-03,3.743.600.000,None,ST,2,Balsam Ultra Brillo x255 ml,198,PWA_DESKTOP
1754919,22074,2024-12-03,3.743.600.000,None,ST,2,Shampoo Ultra Brillo x255 ml,196,PWA_DESKTOP
1754727,22048,2024-12-03,1.059.700.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1754496,22042,2024-12-02,2.983.000.000,None,Lomas de Zamora,2,Spray con Siliconas fijador para el cabello x195ml.,712,PWA_DESKTOP
1754446,22041,2024-12-02,3.983.900.000,None,Rosario,1,Parfum Brume Capillaire,667,PWA_MOBILE
1754446,22041,2024-12-02,3.983.900.000,None,Rosario,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1754446,22041,2024-12-02,3.983.900.000,None,Rosario,1,Shampoo Ultra Brillo x255 ml,196,PWA_MOBILE
1754446,22041,2024-12-02,3.983.900.000,None,Rosario,1,Baño de crema Semillas de Lino x115ml,239,PWA_MOBILE
1754357,22037,2024-12-02,5.644.800.000,None,Bariloche,6,Coloracion Fortalecedora,2,PWA_MOBILE
1753761,22020,2024-12-02,1.059.700.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_DESKTOP
1753733,22019,2024-12-02,2.819.400.000,None,Santa Cruz,2,​Hairstick Óleo de Argán,656,PWA_MOBILE
1752854,21991,2024-12-02,3.617.900.000,None,Caba,1,​Hairstick Óleo de Argán,656,PWA_DESKTOP
1752854,21991,2024-12-02,3.617.900.000,None,Caba,1,Protector Termico x250ml.,830,PWA_DESKTOP
1752854,21991,2024-12-02,3.617.900.000,None,Caba,1,Parfum Brume Capillaire,667,PWA_DESKTOP
1752854,21991,2024-12-02,3.617.900.000,None,Caba,1,Ampolla P+T x20 ml,728,PWA_DESKTOP
1752803,21980,2024-12-02,1.459.700.000,None,Monte Grande,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1752800,21979,2024-12-02,4.004.000.000,None,Quilmes,3,​Hairstick Óleo de Argán,656,PWA_DESKTOP
1752800,21979,2024-12-02,4.004.000.000,None,Quilmes,1,Pantalla Capilar Con Filtro Solar x155ml.,807,PWA_DESKTOP
1752783,21978,2024-12-01,2.742.700.000,None,Entre Rios,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1752783,21978,2024-12-01,2.742.700.000,None,Entre Rios,1,Spray Phytoplus Manzanilla x150ml.,751,PWA_MOBILE
1752717,21963,2024-12-01,3.356.900.000,None,Neuquén,1,Parfum Brume Capillaire,667,PWA_MOBILE
1752717,21963,2024-12-01,3.356.900.000,None,Neuquén,1,Cristales Liquidos x30ml.,845,PWA_MOBILE
1752677,21955,2024-12-01,2.271.300.000,None,"Retiro en Tienda, Roseti 951CABA",1,Parfum Brume Capillaire,667,PWA_MOBILE
1752677,21955,2024-12-01,2.271.300.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1752659,21953,2024-12-01,1.459.700.000,None,Avellaneda,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1752419,21930,2024-12-01,3.634.800.000,None,San Miguel,3,Parfum Brume Capillaire,667,PWA_MOBILE
1752105,21913,2024-12-01,4.053.700.000,None,La Matanza,2,Ampolla 1007 x20 ml,707,PWA_MOBILE
1752105,21913,2024-12-01,4.053.700.000,None,La Matanza,6,Ampolla P+T x20 ml,728,PWA_MOBILE
1752105,21913,2024-12-01,4.053.700.000,None,La Matanza,1,Shampoo 1007 x800 ml,264,PWA_MOBILE
1751829,21897,2024-12-01,2.519.400.000,None,Moreno,2,​Hairstick Óleo de Argán,656,PWA_MOBILE
1751765,21890,2024-12-01,1.059.700.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1751764,21889,2024-12-01,1.059.700.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1751737,21887,2024-12-01,8.474.200.000,None,Pinamar,1,Oleo De Argan x60ml.,499,PWA_MOBILE
1751737,21887,2024-12-01,8.474.200.000,None,Pinamar,1,Shampoo 1007 Gel Potencializado x400 ml,36,PWA_MOBILE
1751737,21887,2024-12-01,8.474.200.000,None,Pinamar,3,Coloracion Biocolor 0% Amoniaco,13,PWA_MOBILE
1751737,21887,2024-12-01,8.474.200.000,None,Pinamar,1,Champu Bioxidil®,260,PWA_MOBILE
1751319,21858,2024-12-01,2.871.300.000,None,Mendoza,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1751319,21858,2024-12-01,2.871.300.000,None,Mendoza,1,Parfum Brume Capillaire,667,PWA_MOBILE
1751263,21850,2024-12-01,2.366.800.000,None,Esteban Echeverria,3,Tratamiento de Reconstruccion Con Oro y Caviar x15 gr,457,PWA_MOBILE
1751263,21850,2024-12-01,2.366.800.000,None,Esteban Echeverria,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1750903,21824,2024-11-30,4.803.300.000,None,Neuquén,3,Shampoo 1007 x800 ml,264,PWA_MOBILE
1750616,21812,2024-11-30,2.246.700.000,None,Quilmes,1,Mascara Anti Naranja x150ml.,647,PWA_MOBILE
1750616,21812,2024-11-30,2.246.700.000,None,Quilmes,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1750440,21800,2024-11-30,2.027.000.000,None,"Retiro en Tienda, Roseti 951CABA",1,Champu Phytoplus Extracto De Jengibre x250ml.,411,PWA_DESKTOP
1750440,21800,2024-11-30,2.027.000.000,None,"Retiro en Tienda, Roseti 951CABA",1,Balsam Phytoplus Extracto De Jengibre x250ml.,413,PWA_DESKTOP
1750440,21800,2024-11-30,2.027.000.000,None,"Retiro en Tienda, Roseti 951CABA",1,Mascara con aceite de Jojoba x150 ml,780,PWA_DESKTOP
1749991,21782,2024-11-30,3.740.000.000,None,La Plata,6,Ampolla 1007 x20 ml,707,PWA_MOBILE
1749991,21782,2024-11-30,3.740.000.000,None,La Plata,1,Mascara con aceite de Jojoba x150 ml,780,PWA_MOBILE
1749991,21782,2024-11-30,3.740.000.000,None,La Plata,1,Champu Phytoplus Extracto De Jengibre x250ml.,411,PWA_MOBILE
1749991,21782,2024-11-30,3.740.000.000,None,La Plata,1,Balsam Phytoplus Extracto De Jengibre x250ml.,413,PWA_MOBILE
1749951,21778,2024-11-30,3.564.700.000,None,CORDOBA,2,​Hairstick Óleo de Argán,656,PWA_MOBILE
1749951,21778,2024-11-30,3.564.700.000,None,CORDOBA,1,Cristales Liquidos x30ml.,845,PWA_MOBILE
1749806,21773,2024-11-30,3.573.900.000,None,Comodoro Rivadavia,1,Parfum Brume Capillaire,667,PWA_MOBILE
1749806,21773,2024-11-30,3.573.900.000,None,Comodoro Rivadavia,1,Mascara Rosa Mosqueta Organica x150 ml,213,PWA_MOBILE
1749806,21773,2024-11-30,3.573.900.000,None,Comodoro Rivadavia,1,Protector Termico x250ml.,830,PWA_MOBILE
1749806,21773,2024-11-30,3.573.900.000,None,Comodoro Rivadavia,1,Balsam Phytoplus Extracto De Jengibre x250ml.,413,PWA_MOBILE
1749511,21766,2024-11-30,1.459.700.000,None,Vicente López,1,​Hairstick Óleo de Argán,656,PWA_DESKTOP
1749363,21750,2024-11-30,1.059.700.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1749321,21744,2024-11-30,1.059.700.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1749050,21725,2024-11-29,1.486.100.000,None,"Retiro en Tienda, Roseti 951CABA",1,Mascara 100% Vegano c/ Keratina Vegetal. 150 ml,796,PWA_MOBILE
1749050,21725,2024-11-29,1.486.100.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1749045,21724,2024-11-29,1.559.700.000,None,Rafaela,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1748913,21715,2024-11-29,1.559.700.000,None,San Juan,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1748300,21686,2024-11-29,2.871.300.000,None,Rosario,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1748300,21686,2024-11-29,2.871.300.000,None,Rosario,1,Parfum Brume Capillaire,667,PWA_MOBILE
1747895,21677,2024-11-29,4.034.900.000,None,Tucuman,1,​Hairstick Óleo de Argán,656,PWA_DESKTOP
1747895,21677,2024-11-29,4.034.900.000,None,Tucuman,1,Kit Nutricion-Antifrizz: Stick + óleo 30 ml,--,PWA_DESKTOP
1747883,21676,2024-11-29,1.459.700.000,None,Caba,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1747579,21662,2024-11-29,1.459.700.000,None,Caba,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1747467,21660,2024-11-29,4.563.700.000,None,Caba,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1747467,21660,2024-11-29,4.563.700.000,None,Caba,2,Shampoo Oleo de Argan x200ml.,651,PWA_MOBILE
1747467,21660,2024-11-29,4.563.700.000,None,Caba,1,Balsam oleo de argan 200ml,652,PWA_MOBILE
1746923,21634,2024-11-29,918.400.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1746920,21632,2024-11-29,1.002.250.000,18,"Retiro en Tienda, Roseti 951CABA",1,Parfum Brume Capillaire,667,PWA_MOBILE
1746902,21630,2024-11-29,1.518.400.000,None,Mar del Plata,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1746867,21627,2024-11-29,2.980.400.000,None,Tucuman,1,Kit Renovacion Celular: Shampoo Renovación celular + Máscara Renovación celular,--,PWA_MOBILE
1746863,21624,2024-11-29,918.400.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1746775,21614,2024-11-28,2.236.800.000,None,Caba,2,​Hairstick Óleo de Argán,656,PWA_MOBILE
1746662,21597,2024-11-28,918.400.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1746607,21577,2024-11-28,2.436.800.000,None,Rosario,2,​Hairstick Óleo de Argán,656,PWA_MOBILE
1746580,21575,2024-11-28,1.318.400.000,None,Caba,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1746528,21568,2024-11-28,1.318.400.000,None,Caba,1,​Hairstick Óleo de Argán,656,PWA_MOBILE
1746163,21524,2024-11-28,3.673.600.000,None,Misiones,4,​Hairstick Óleo de Argán,656,PWA_MOBILE
1745831,21495,2024-11-28,2.573.400.000,None,CORDOBA,1,​Hairstick Óleo de Argán,656,PWA_DESKTOP
1745831,21495,2024-11-28,2.573.400.000,None,CORDOBA,1,Parfum Brume Capillaire,667,PWA_DESKTOP
1745704,21480,2024-11-28,1.055.000.000,None,"Retiro en Tienda, Roseti 951CABA",1,Parfum Brume Capillaire,667,PWA_MOBILE
1745442,21454,2024-11-28,918.400.000,None,"Retiro en Tienda, Roseti 951CABA",1,​Hairstick Óleo de Argán,656,PWA_MOBILE
