SKU;título; COST S/IMP ; COST C/IMP ;PVP
1;Coloración Tono sobre Tono Kit;4.311,93;5.217,44;8696,00
2;Coloración Fortalece. Masculina;4.664,90;5.644,53;9408,00
3;Fija+Más 20 vol. Proteínas x 70;1.457,38;1.763,43;2939,00
4;Fija+30Vol Proteínas x 70ml;1.611,45;1.949,85;3250,00
5;Fija+Más 20 Vol.Hierbas x70ml;1.465,90;1.773,74;2956,00
6;Fija+Más 30 Vol.Hierbas x70 ml;1.559,40;1.886,87;3145,00
7;Fija+Más 20 Vol.Hier.Aplica x70;1.778,60;2.152,11;3587,00
9;Tine+Más Aditivo en Ampollas;1.528,29;1.849,23;3082,00
11;Coloración Ultrahidratante x 50;2.432,62;2.943,47;4906,00
12;Bio Color Coloración con Shock;4.235,62;5.125,10;8542,00
13;Bio Color Coloración 0% amoníaco;4.664,90;5.644,53;9408,00
14;Coloración Ultrahidratante con Shock Vit;2.690,19;3.255,13;5425,00
24;Recuperador Capilar B5 x 500gr;9.386,84;11.358,08;18930,00
35;Shampoo Gel Potenci.1007 x200ml;3.947,74;4.776,76;7961,00
36;Shampoo Gel Potenci.1007 x400ml;6.354,76;7.689,26;12815,00
46;Spray Anti-Humedad Aero x200ml;6.143,18;7.433,25;12389,00
47;Champú Manzanilla x200ml;3.245,92;3.927,56;6546,00
48;Champú Manzanilla x400ml;4.934,67;5.970,95;9952,00
49;Balsam con Manzanilla x200ml;3.245,92;3.927,56;6546,00
50;Balsam con Manzanilla x400ml;4.934,67;5.970,95;9952,00
52;"Nutri-Champú c/Vit. ""E"" x200ml";3.531,03;4.272,55;7121,00
53;"Nutri-Champú c/Vit. ""E"" x400ml";5.208,82;6.302,67;10504,00
55;"Nutri-Balsam c/Vit. ""E"" x200ml";3.531,03;4.272,55;7121,00
56;"Nutri-Balsam c/Vit. ""E"" x400ml";5.469,26;6.617,81;11030,00
59;Champú Super Especial 1053x200;3.223,99;3.901,02;6502,00
60;Champú Super Especial 1053x400;5.066,26;6.130,18;10217,00
62;Shampoo 1007 x200ml;3.245,92;3.927,56;6546,00
63;Shampoo 1007 x400ml;5.121,09;6.196,52;10328,00
65;Champú Neutro Algas x200ml;3.169,16;3.834,68;6391,00
66;Champú Neutro Algas x400ml;4.963,29;6.005,58;10009,00
68;Balsam c/Extr. de Algas x200ml;3.169,16;3.834,68;6391,00
69;Balsam c/Extr. de Algas x400ml;4.638,59;5.612,70;9354,00
74;Champú Aceite de Jojoba x200ml;3.300,75;3.993,90;6657,00
75;Champú Aceite de Jojoba x400ml;4.956,60;5.997,49;9996,00
77;Balsam con Ac. de Jojoba x200ml;3.300,75;3.993,90;6657,00
78;Balsam con Ac. de Jojoba x400ml;4.956,60;5.997,49;9996,00
90;Balsam Vitaminado x200ml;3.027,70;3.663,51;6106,00
91;Balsam Vitaminado x400ml;4.686,29;5.670,42;9451,00
93;Fija+Más 30 Vol Proteínas x75;1.654,92;2.002,46;3337,00
94;Fija+Más 20 Vol.Hierbas x75ml;1.573,26;1.903,65;3173,00
99;Champú Anticloro x250ml;4.770,16;5.771,89;9620,00
100;Sistema de Coloración Anti - Age;4.662,83;5.642,02;9403,00
101;Savia c/Salvia y Siliconas x250;4.194,43;5.075,26;8459,00
102;Savia c/Salvia y Siliconas x400;5.429,45;6.569,63;10949,00
103;Savia c/Salvia y Fil. Solar x250;4.008,60;4.850,41;8084,00
112;Champú Aloe Vera x200ml;3.509,10;4.246,01;7077,00
113;Champú Aloe Vera x400ml;5.492,03;6.645,36;11076,00
114;Balsam Aloe Vera x200ml;3.509,10;4.246,01;7077,00
115;Balsam Aloe Vera x400ml;5.263,20;6.368,47;10614,00
118;Champú Trío para Niños x250ml;5.007,09;6.058,58;10098,00
119;Champú para Niños Rojo x250ml;4.938,81;5.975,96;9960,00
120;Champú para Niños Azul x250ml;4.938,81;5.975,96;9960,00
121;Desenredante para Niños x250ml;4.573,06;5.533,40;9222,00
138;Espuma Fijadora Aerosol x240m;6.943,53;8.401,67;14003,00
144;Champú Bifermix x200ml;3.762,40;4.552,51;7588,00
145;Champú Bifermix x400ml;5.753,04;6.961,18;11602,00
146;Balsamo Bifermix x200ml;3.762,40;4.552,51;7588,00
147;Balsamo Bifermix x400ml;5.753,04;6.961,18;11602,00
153;Champú Colageno 1019 x200ml;3.169,16;3.834,68;6391,00
154;Champú Colageno 1019 x400ml;5.153,99;6.236,33;10394,00
157;Brillo c/Siliconas Shine x290;6.161,99;7.456,01;12427,00
161;Champú Ginkgo Biloba Finos x200;3.585,86;4.338,89;7231,00
162;Champú Ginkgo Biloba Finos x400;5.877,65;7.111,96;11853,00
171;Champú Ceramidas x250ml;5.574,14;6.744,71;11241,00
172;Champú Ceramidas x400ml;7.624,43;9.225,56;15376,00
173;Bálsamo con Ceramidas x250ml;4.791,25;5.797,41;9662,00
174;Bálsamo con Ceramidas x400ml;6.420,06;7.768,27;12947,00
180;Keratina Líquida+Glycoceramida;5.968,17;7.221,48;12036,00
181;Champú Keratina 1044 x200ml;3.169,16;3.834,68;6391,00
182;Champú Keratina 1044 x400ml;5.208,82;6.302,67;10504,00
196;Shampoo U/Brillo c/Pro.dePerla;6.445,89;7.799,52;12999,00
198;Balsam U/Brillo c/Pro.dePerla;5.930,22;7.175,56;11959,00
199;Crema para Peinar Ultra Brillo;7.230,72;8.749,17;14582,00
201;Spray para Peinar Atomiza.x150;4.398,16;5.321,77;8870,00
202;Champú Libre de Sulfatos x255;8.060,86;9.753,64;16256,00
204;Balsam Dermoprotector x255;6.464,11;7.821,57;13036,00
209;Champú Manzana Verde x400ml;5.033,37;6.090,37;10151,00
210;Champú R.Mosqueta Orgánico x255;5.410,97;6.547,27;10912,00
212;Balsam R.Mosqueta Orgánico x255;5.142,65;6.222,61;10371,00
213;Máscara Rosa Mosqueta Orgánica x 150ml;4.873,10;5.896,45;9827,00
225;Crema p/Peinar Rulos x270gr;7.253,63;8.776,89;14628,00
234;Champú Semilla de Lino x200ml;3.585,86;4.338,89;7231,00
235;Champú Semilla de Lino x400ml;5.680,08;6.872,90;11455,00
237;Balsam Semilla de Lino x200ml;3.585,86;4.338,89;7231,00
238;Balsam Semilla de Lino x400ml;5.680,08;6.872,90;11455,00
239;Baño Crema Semilla de Lino x115;3.658,18;4.426,40;7377,00
243;Champú Hipoalergénico x250ml;6.254,88;7.568,40;12614,00
247;Champú p/Cab.Trat. c/Color x250;5.627,19;6.808,90;11348,00
248;Champú p/Cab.Trat. c/Color x400;7.201,92;8.714,32;14524,00
249;Balsam p/Cab.Trat. c/Color x250;7.546,29;9.131,01;15218,00
250;Balsam p/Cab.Trat. c/Color x400;10.521,06;12.730,49;21217,00
257;"Nutri-Champú c/Vit.""E"" x800ml";8.111,17;9.814,51;16358,00
259;"Nutri-Balsam c/Vit.""E""x800ml";8.922,29;10.795,97;17993,00
260;Champú con Bioxidil x250ml;9.760,08;11.809,69;19683,00
264;Shampoo 1007 x800ml;7.939,34;9.606,60;16011,00
267;Champú Te Verde Green Tea x200;4.188,99;5.068,68;8448,00
272;Champú Hidrata. Intensa x400ml;7.178,94;8.686,51;14478,00
274;Balsam Hidrata. Intensa x400ml;9.162,07;11.086,11;18477,00
285;Bálsamo Acondici. Triple Acción;6.897,36;8.345,80;13910,00
289;Tratami. de Cauterización 1+2+3;5.737,31;6.942,14;11570,00
291;Champú c/Argan y Amin.Seda x250;5.321,53;6.439,05;10732,00
295;Balsam c/Argan y Amin.Seda x250;5.179,23;6.266,87;10445,00
297;Baño Crema c/Argan Pomo 115gr;4.647,11;5.623,00;9372,00
298;Óleo de Argan p/T.Cabe.12x10ml;44.415,92;53.743,27;7464,00
316;Brilla+Más Aditivo p/Color.Amp.;1.621,53;1.962,05;3270,00
318;Pic-Out Aditivo Ampolla x3ml;2.187,67;2.647,08;4412,00
320;Champú Ortiga y Quinina x295ml;3.985,81;4.822,83;8038,00
322;Balsam Ortiga y Quinina x295ml;3.951,05;4.780,77;7968,00
328;Champú p/Caída y Caspa de Orti;5.814,39;7.035,42;11726,00
379;Shampoo Gel Potenci.1007x800ml;10.594,10;12.818,86;21365,00
381;Champú Phytoplus Cítrico x200;3.904,06;4.723,91;7873,00
383;Champú Phytoplus Cítrico x400;5.691,32;6.886,50;11477,00
386;Champú Anti-Quiebre c/SKx250ml;7.245,97;8.767,62;14613,00
392;Balsam Vitaminado x800ml;7.601,39;9.197,68;15329,00
395;Cera Capilar Styling x95gr.;4.283,71;5.183,29;8639,00
401;Máscara Ácida Biocolor 0% pote;6.279,73;7.598,47;12664,00
402;Champú Sell.Bio Color 0% x400g;7.255,27;8.778,88;14631,00
407;Balsamo Sell.Bio Color 0% x400g;10.158,67;12.291,99;20487,00
409;Trat Cap Nº1 c/Ac Hialu24x20x1;19.664,20;23.793,69;1652,00
411;Champú de Jengibre x250ml;4.544,66;5.499,04;9165,00
413;Balsam de Jengibre x250ml;4.544,66;5.499,04;9165,00
415;Cápsulas Glycocera+Multivi x24u.;26.578,44;32.159,91;2233,00
417;Trat Cap Nº2 Ac ArgyCam24x20x1;19.664,20;23.793,69;1652,00
423;Trata.Nº1 Capi-Ac.Hial.2x24Sac;38.782,18;46.926,44;1629,00
427;Trata.Nº2 Capi-Arg-Cam.2x24Sac;38.782,18;46.926,44;1629,00
431;Trata.Nº3 Capi-Ac.Palta 2x24Sa;38.782,18;46.926,44;1629,00
433;Trata. Nº4 Capi-Coco x24sac;18.689,12;22.613,83;1570,00
434;Trata.Nº4 Capi-Ac.Coco 2x24Sac;36.859,10;44.599,51;1549,00
437;Champú con Cafeína x 295 ml;5.027,27;6.082,99;10138,00
438;Trata. Nº3 Capi-Ac. Palta x24sac;19.664,20;23.793,69;1652,00
439;Bálsamo con Cafeína x 295 ml;4.625,09;5.596,35;9327,00
441;Baño Cr.Anticaid.c/Cafe.x125gr;3.684,56;4.458,31;7431,00
448;Champú p/Tratami.Alisado x295m;7.620,38;9.220,66;15368,00
450;Balsam p/Tratami.Alisado x295m;8.240,89;9.971,47;16619,00
454;Crema p/Peinar c/Alisado x155g;6.885,32;8.331,24;13885,00
455;Máscara p/ Cabellos Alisados pote;7.624,67;9.225,86;15376,00
457;1´Minuto Trata.Recons.12x15gr;24.975,46;30.220,31;4197,00
458;Spray para Peinar Oro y Caviar;5.065,18;6.128,86;10215,00
460;Champú para Pediculosis x250m;9.628,51;11.650,49;19417,00
463;Champú Cerveza y Miel  x 250ml;4.762,93;5.763,15;9605,00
467;Champú Neutro Algas x800ml;7.726,00;9.348,46;15581,00
470;Balsam c/Extr.de Algas x800ml;7.726,00;9.348,46;15581,00
471;Champú Moringa/Keratina x200ml;3.969,67;4.803,30;8006,00
472;Champú Moringa/Keratina x400ml;6.253,30;7.566,50;12611,00
473;Balsam Moringa/Keratina x200ml;3.772,83;4.565,12;7609,00
474;Balsam Moringa/Keratina x400ml;5.753,04;6.961,18;11602,00
475;Baño de Crema Moringa/Keratina;4.377,31;5.296,55;8828,00
481;Champú Spirulina x400ml;5.537,80;6.700,74;11168,00
483;Balsam Spirulina x400ml;4.848,58;5.866,78;9778,00
484;Baño de Crema Spirulina x115gr;4.067,37;4.921,51;8203,00
485;Champú Extr.Oliva Ecocert x300;5.353,03;6.477,17;10795,00
487;Balsam Extr.Oliva Ecocert x300;5.087,59;6.155,99;10260,00
493;Champú 100% Vegano x200ml;4.173,59;5.050,04;8417,00
495;Balsam 100% Vegano x200ml;5.160,60;6.244,33;10407,00
497;Acondiciona. Vitaminado s/Enjua.;5.359,55;6.485,06;10808,00
498;Óleo de Argan Frasco x30ml;8.914,22;10.786,21;17977,00
499;Óleo de Argan Frasco x58ml;11.910,66;14.411,90;24020,00
600;Champú Renovación Celular x200;5.299,31;6.412,17;10687,00
602;Balsam Renovación Celular x200;4.275,47;5.173,32;8622,00
607;Champú Anti - Amarillo x 295ml;5.310,14;6.425,26;10709,00
608;Champú Anti-Amarillo Sachet x 24;20.438,47;24.730,55;1717,00
609;Máscara Anti Amarillo pote;5.575,09;6.745,86;11243,00
610;Champú Libre de Gluten x180gr;5.142,65;6.222,61;10371,00
612;Balsam Libre de Gluten x180gr;5.142,65;6.222,61;10371,00
614;Baño Cre.Libre de Gluten x125g;4.717,59;5.708,28;9514,00
617;Puro Henna Natural Cereza x 80 gr;12.881,29;15.586,36;25977,00
618;Puro Henna Natural Tiziano x 80 gr;12.881,29;15.586,36;25977,00
620;Champú 1 c/Ac.Hialurónico x295;4.146,21;5.016,92;8362,00
