Fecha;Origen - Base de datos;Comprobante;Item - Cantidad;Artículo - Código;Artículo;Item - Monto sin impuestos;Item - Monto con impuestos;Item - Descuento sin impuestos;Item - Descuento con impuestos;Item - Monto Neto sin impuestos;Item - Monto Neto
8/11/24;CORDOBA2;FEN B 0040-00001215;1;225;225 Crema p/Peinar Rulos x270gr;12452,0661;15067;0;0;12452,0661;15067
15/11/24;CORDOBA2;FEN B 0040-00001244;1;225;225 Crema p/Peinar Rulos x270gr;12452,0661;15067;0;0;12452,0661;15067
9/11/24;CORDOBA2;FEN B 0040-00001217;1;647;647 masc Antinaranja;9570,2479;11580;0;0;9570,2479;11580
30/11/24;CORDOBA2;FEN B 0040-00001318;1;209;209 Champú Manzana Verde x400ml;8640,4959;10455;0;0;8640,4959;10455
30/11/24;CORDOBA2;FEN B 0040-00001320;1;209;209 Champú Manzana Verde x400ml;8640,4959;10455;0;0;8640,4959;10455
29/11/24;CORDOBA2;FEN B 0040-00001313;1;762;762 Amp.Bioxidil x10ml.P/Caida finos y frag.C/Silanol;5818,1818;7040;0;0;5818,1818;7040
6/11/24;CORDOBA2;FEN B 0040-00001203;1;199;199 Crema para Peinar Ultra Brillo;12412,3967;15019;0;0;12412,3967;15019
15/11/24;CORDOBA2;FEN B 0040-00001241;1;199;199 Crema para Peinar Ultra Brillo;12412,3967;15019;0;0;12412,3967;15019
15/11/24;CORDOBA2;FEN B 0040-00001242;1;199;199 Crema para Peinar Ultra Brillo;12412,3967;15019;0;0;12412,3967;15019
30/11/24;CORDOBA2;FEN B 0040-00001324;1;199;199 Crema para Peinar Ultra Brillo;12412,3967;15019;0;0;12412,3967;15019
23/11/24;CORDOBA2;FEN B 0040-00001280;1;199;199 Crema para Peinar Ultra Brillo;12412,3967;15019;1241,2397;1501,9;11171,157;13517,1
9/11/24;CORDOBA2;FEN B 0040-00001225;1;499;499 Óleo de Argan Frasco x60ml;20446,281;24740;0;0;20446,281;24740
29/11/24;CORDOBA2;FEN B 0040-00001314;1;499;499 Óleo de Argan Frasco x60ml;20446,281;24740;0;0;20446,281;24740
30/11/24;CORDOBA2;FEN B 0040-00001324;1;499;499 Óleo de Argan Frasco x60ml;20446,281;24740;0;0;20446,281;24740
6/11/24;CORDOBA2;FEN B 0040-00001207;1;248;248 Champú p/Cab.Trat. c/Color x400;12363,6364;14960;0;0;12363,6364;14960
1/11/24;CORDOBA2;FEN B 0040-00001187;1;827;827 Nutri Serum x30ml;18937,1901;22914;0;0;18937,1901;22914
11/11/24;CORDOBA2;FEN B 0040-00001231;1;827;827 Nutri Serum x30ml;18937,1901;22914;1893,719;2291,4;17043,4711;20622,6017
11/11/24;CORDOBA2;FEN B 0040-00001231;1;56;"56 ""Nutri-Balsam c/Vit. """"E"""" x400ml""";9389,2562;11361;938,9256;1136,1;8450,3306;10224,8994
17/11/24;CORDOBA2;FEN B 0040-00001258;1;56;"56 ""Nutri-Balsam c/Vit. """"E"""" x400ml""";9389,2562;11361;0;0;9389,2562;11361
18/11/24;CORDOBA2;FEN B 0040-00001267;1;56;"56 ""Nutri-Balsam c/Vit. """"E"""" x400ml""";9389,2562;11361;938,9257;1136,1;8450,3305;10224,8997
9/11/24;CORDOBA2;FEN B 0040-00001223;1;759;759 Amp.Shock Keratina x 20ml P/finos y desvit.C/Oro&C;4897,5207;5926;0;0;4897,5207;5926
18/11/24;CORDOBA2;FEN B 0040-00001266;1;759;759 Amp.Shock Keratina x 20ml P/finos y desvit.C/Oro&C;4897,5207;5926;0;0;4897,5207;5926
22/11/24;CORDOBA2;FEN B 0040-00001277;1;759;759 Amp.Shock Keratina x 20ml P/finos y desvit.C/Oro&C;4897,5207;5926;0;0;4897,5207;5926
3/11/24;CORDOBA2;FEN B 0040-00001194;1;653;653 masc oleo de argan;10014,0496;12117;1001,4049;1211,7;9012,6447;10905,2974
6/11/24;CORDOBA2;FEN B 0040-00001208;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
9/11/24;CORDOBA2;FEN B 0040-00001224;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
18/11/24;CORDOBA2;FEN B 0040-00001265;1;653;653 masc oleo de argan;10014,0496;12117;0;0;10014,0496;12117
30/11/24;CORDOBA2;FEN B 0040-00001317;1;653;653 masc oleo de argan;10014,0496;12117;2002,8099;2423,4;8011,2397;9693,6
30/11/24;CORDOBA2;FEN B 0040-00001324;1;653;653 masc oleo de argan;10014,0496;12117;2002,8099;2423,4;8011,2397;9693,6
2/11/24;CORDOBA2;FEN B 0040-00001192;1;803;803 masc renov celular;10014,0496;12117;0;0;10014,0496;12117
2/11/24;CORDOBA2;CEN B 0040-00000027;-1;609;609 Masc.Anti Amarillo x150ml;-9570,2479;-11580;0;0;-9570,2479;-11580
1/11/24;CORDOBA2;FEN B 0040-00001188;1;609;609 Masc.Anti Amarillo x150ml;9570,2479;11580;0;0;9570,2479;11580
3/11/24;CORDOBA2;FEN B 0040-00001193;1;609;609 Masc.Anti Amarillo x150ml;9570,2479;11580;957,0248;1158;8613,2231;10422
7/11/24;CORDOBA2;FEN B 0040-00001211;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;1383,8017;1674,4;12454,2148;15069,5987
24/11/24;CORDOBA2;FEN B 0040-00001288;1;202;202 Champú Libre de Sulfatos x255;13838,0165;16744;0;0;13838,0165;16744
15/11/24;CORDOBA2;FEN B 0040-00001244;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;0;0;8520,6612;10310
17/11/24;CORDOBA2;FEN B 0040-00001255;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;0;0;8520,6612;10310
21/11/24;CORDOBA2;FEN B 0040-00001276;1;66;66 Champú Neutro Algas x400ml;8520,6612;10310;0;0;8520,6612;10310
7/11/24;CORDOBA2;FEN B 0040-00001211;1;204;204 Balsam Dermoprotector x255;11096,6942;13427;1109,6694;1342,7;9987,0248;12084,299
7/11/24;CORDOBA2;FEN B 0040-00001212;1;36;36 Shampoo Gel Potenci.1007 x400ml;10909,0909;13200;1090,9091;1320;9818,1818;11879,9988
9/11/24;CORDOBA2;FEN B 0040-00001220;1;383;383 Champú Phytoplus Cítrico x400;9770,2479;11822;0;0;9770,2479;11822
24/11/24;CORDOBA2;FEN B 0040-00001289;1;383;383 Champú Phytoplus Cítrico x400;9770,2479;11822;0;0;9770,2479;11822
12/11/24;CORDOBA2;FEN B 0040-00001233;1;498;498 Óleo de Argan Frasco x30ml;15302,4793;18516;0;0;15302,4793;18516
12/11/24;CORDOBA2;FEN B 0040-00001233;1;498;498 Óleo de Argan Frasco x30ml;15302,4793;18516;0;0;15302,4793;18516
24/11/24;CORDOBA2;FEN B 0040-00001290;1;639;639 Champú Proteínas de Soja x 400ml;9157,0248;11080;0;0;9157,0248;11080
1/11/24;CORDOBA2;FEN B 0040-00001187;1;654;654 acondicionador bifasico;15632,2314;18915;0;0;15632,2314;18915
25/11/24;CORDOBA2;FEN B 0040-00001297;1;654;654 acondicionador bifasico;15632,2314;18915;0;0;15632,2314;18915
26/11/24;CORDOBA2;FEN B 0040-00001301;1;654;654 acondicionador bifasico;15632,2314;18915;1563,2232;1891,5;14069,0082;17023,4985
24/11/24;CORDOBA2;FEN B 0040-00001293;1;654;654 acondicionador bifasico;15632,2314;18915;0;0;15632,2314;18915
16/11/24;CORDOBA2;FEN B 0040-00001247;1;654;654 acondicionador bifasico;15632,2314;18915;0;0;15632,2314;18915
6/11/24;CORDOBA2;FEN B 0040-00001206;1;458;458 Spray para Peinar Oro y Caviar;8695,0413;10521;869,5041;1052,1;7825,5372;9468,9
6/11/24;CORDOBA2;FEN B 0040-00001205;1;458;458 Spray para Peinar Oro y Caviar;8695,0413;10521;869,5041;1052,1;7825,5372;9468,9
14/11/24;CORDOBA2;FEN B 0040-00001239;1;458;458 Spray para Peinar Oro y Caviar;8695,0413;10521;0;0;8695,0413;10521
29/11/24;CORDOBA2;FEN B 0040-00001310;1;458;458 Spray para Peinar Oro y Caviar;8695,0413;10521;0;0;8695,0413;10521
16/11/24;CORDOBA2;FEN B 0040-00001247;1;138;138 Espuma Fijadora Aerosol x240m;11919,8347;14423;1787,9752;2163,45;10131,8595;12259,55
30/11/24;CORDOBA2;FEN B 0040-00001321;1;138;138 Espuma Fijadora Aerosol x240m;11919,8347;14423;1787,9752;2163,45;10131,8595;12259,55
1/11/24;CORDOBA2;FEN B 0040-00001185;1;608;608 Champú Anti-Amarillo Sachet x 24;1461,9835;1769;57,847;69,9948;1404,1365;1699,0061
21/11/24;CORDOBA2;FEN B 0040-00001276;1;727;727 Champu P+T recup.x300ml.;10170,2479;12306;0;0;10170,2479;12306
9/11/24;CORDOBA2;FEN B 0040-00001218;1;790;790 Masc.Reflejante Plata x150ml;11840,4959;14327;0;0;11840,4959;14327
6/11/24;CORDOBA2;FEN B 0040-00001204;1;9;9 Tine+Más Aditivo en Ampollas;2623,9669;3175;0;0;2623,9669;3175
2/11/24;CORDOBA2;FEN B 0040-00001189;1;493;493 Champú 100% Vegano x200ml;7164,4628;8669;716,4463;866,9;6448,0165;7802,0999
3/11/24;CORDOBA2;FEN B 0040-00001194;1;707;707 Amp.1007 P/Caida Leve x20ml Veget.& Oligoelementos;4860,3306;5881;486,0331;588,1;4374,2975;5292,9008
3/11/24;CORDOBA2;FEN B 0040-00001194;1;707;707 Amp.1007 P/Caida Leve x20ml Veget.& Oligoelementos;4860,3306;5881;486,0331;588,1;4374,2975;5292,9008
11/11/24;CORDOBA2;FEN B 0040-00001230;3;707;707 Amp.1007 P/Caida Leve x20ml Veget.& Oligoelementos;14580,9918;17643;0;0;14580,9918;17643
29/11/24;CORDOBA2;FEN B 0040-00001313;1;707;707 Amp.1007 P/Caida Leve x20ml Veget.& Oligoelementos;4860,3306;5881;0;0;4860,3306;5881
6/11/24;CORDOBA2;FEN B 0040-00001207;1;250;250 Balsam p/Cab.Trat. c/Color x400;18061,157;21854;0;0;18061,157;21854
11/11/24;CORDOBA2;FEN B 0040-00001231;1;53;"53 ""Nutri-Champú c/Vit. """"E"""" x400ml""";8942,1488;10820;894,2149;1082;8047,9339;9737,9994
